АЛРОСА,Газпром,ЛУКОЙЛ,Магнит,Роснефть,Сбер Банк,Совкомфлот,Сургутнефтегаз - привилегированные,ВИМ - Ликвидность
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:51|Tuesday
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:51|Tuesday
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:51|Tuesday
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:51|Tuesday
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:52|Tuesday
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:52|Tuesday
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:52|Tuesday
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:52|Tuesday
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:52|Tuesday
"70,62₽","164,87₽",6977₽,"6058,5₽",555₽,"256,89₽","118,86₽","53,18₽","1,3101₽",12/12/00:52|Tuesday
"71,81₽","162,42₽",7001₽,6060₽,"549,3₽","257,55₽","118,84₽","53,72₽","1,3104₽",12/12/22:13|Tuesday
"71,81₽","162,42₽",7001₽,6054₽,"549,3₽","257,55₽","118,84₽","53,725₽","1,3105₽",12/12/22:13|Tuesday
"71,8₽","162,42₽",7016₽,6060₽,"549,3₽","256,82₽","118,84₽","53,72₽","1,3104₽",12/12/22:13|Tuesday
"71,8₽","162,42₽",7008₽,6058₽,"549,15₽","257,55₽","118,41₽","53,72₽","1,3104₽",12/12/22:13|Tuesday
"71,8₽","162,42₽",7008₽,6058₽,"549,15₽","257,55₽","118,84₽","53,72₽","1,3105₽",12/12/22:13|Tuesday
"71,81₽","162,41₽",7001₽,6054₽,"549,3₽","257,55₽","118,84₽","53,72₽","1,3105₽",12/12/22:13|Tuesday
"71,8₽","162,42₽",7001₽,6058₽,"549,3₽","256,82₽","118,84₽","53,72₽","1,3105₽",12/12/22:14|Tuesday
"71,8₽","162,42₽",7001₽,6054₽,"549,15₽","256,82₽","118,84₽","53,72₽","1,3105₽",12/12/22:14|Tuesday
"71,8₽","162,42₽",7001₽,6058₽,"549,3₽","256,82₽","118,41₽","53,72₽","1,3105₽",12/12/22:14|Tuesday
"71,8₽","162,41₽",7008₽,6054₽,"549,3₽","256,82₽","118,41₽","53,72₽","1,3105₽",12/12/22:14|Tuesday
